Action,Bytes,Item ,# Of Purchases,Response,Pct_Purchase,# Of Views,Brand,Clickhere,Category,ClientIP,ItemID,Msg,Number of Records,ProductID,Rbytes,Rstat,ServerIp,SessionID,TimeStamp,URL
View,511,Home Theator,0,Successfull,0,1,Intex,Click Here,,94.229.0.20,est-11,,1,db-sg-g01,3066,200,-,sd6sl5ff4adff22173,,http://www.buttercupgames.com/oldlink
View,682,Home Theator,0,Successfull,0,1,Karbon,Click Here,,125.17.14.100,est-11,,1,dc-sg-g02,2159,200,-,sd7sl8ff8adff16789,,http://www.buttercupgames.com/oldlink
View,887,Home Theator,0,Successfull,0,1,Karbon,Click Here,,203.172.197.2,est-11,,1,dc-sg-g02,3172,200,-,sd1sl10ff8adff22580,,http://www.buttercupgames.com/oldlink
View,251,Home Theator,0,Successfull,0,1,Karbon,Click Here,,216.221.226.11,est-11,,1,dc-sg-g02,2673,200,-,sd7sl3ff10adff28380,,http://www.buttercupgames.com/oldlink
View,142,Home Theator,0,Successfull,0,1,Karbon,Click Here,,223.5.16.102,est-11,,1,dc-sg-g02,1943,200,-,sd0sl3ff10adff25071,,http://www.buttercupgames.com/oldlink
View,181,Home Theator,0,Successfull,0,1,Karbon,Click Here,,59.162.167.100,est-11,,1,dc-sg-g02,2017,200,-,sd0sl9ff10adff26198,,http://www.buttercupgames.com/oldlink
View,211,Home Theator,0,Successfull,0,1,Karbon,Click Here,,87.194.216.51,est-11,,1,dc-sg-g02,413,200,-,sd5sl2ff9adff31176,,http://www.buttercupgames.com/oldlink
View,345,Home Theator,0,Successfull,0,1,Karbon,Click Here,,91.217.178.210,est-11,,1,dc-sg-g02,1799,200,-,sd10sl2ff1adff40601,,http://www.buttercupgames.com/oldlink
View,348,Home Theator,0,Successfull,0,1,LG,Click Here,,194.215.205.19,est-11,,1,fi-ag-g08,2945,200,-,sd0sl7ff7adff18896,,http://www.buttercupgames.com/oldlink
View,614,Home Theator,0,Successfull,0,1,LG,Click Here,,221.204.246.72,est-11,,1,fi-ag-g08,1327,200,-,sd4sl4ff3adff10786,,http://www.buttercupgames.com/oldlink
View,742,Home Theator,0,Successfull,0,1,LG,Click Here,,62.216.64.19,est-11,,1,fi-ag-g08,2080,200,-,sd0sl7ff4adff41635,,http://www.buttercupgames.com/oldlink
View,959,Home Theator,0,Successfull,0,1,LG,Click Here,,91.205.189.15,est-11,,1,fi-ag-g08,1471,200,-,sd5sl2ff5adff38991,,http://www.buttercupgames.com/oldlink
View,237,Home Theator,0,Successfull,0,1,LG,Click Here,,91.205.40.22,est-11,,1,fi-ag-g08,3022,200,-,sd4sl7ff4adff41340,,http://www.buttercupgames.com/oldlink
View,157,Home Theator,0,Successfull,0,1,Lenovo,Click Here,,111.161.27.20,est-11,,1,fs-sg-g03,261,200,-,sd7sl5ff3adff7811,,http://www.buttercupgames.com/oldlink
View,114,Home Theator,0,Successfull,0,1,Lenovo,Click Here,,188.143.232.202,est-11,,1,fs-sg-g03,704,200,-,sd9sl4ff6adff27782,,http://www.buttercupgames.com/oldlink
View,730,Home Theator,0,Successfull,0,1,Lenovo,Click Here,,192.162.19.179,est-11,,1,fs-sg-g03,2438,200,-,sd2sl3ff9adff33525,,http://www.buttercupgames.com/oldlink
View,275,Home Theator,0,Successfull,0,1,Lenovo,Click Here,,212.27.63.151,est-11,,1,fs-sg-g03,1609,200,-,sd8sl3ff2adff28876,,http://www.buttercupgames.com/oldlink
View,370,Home Theator,0,Successfull,0,1,Lenovo,Click Here,,69.80.0.18,est-11,,1,fs-sg-g03,1056,200,-,sd10sl1ff5adff51116,,http://www.buttercupgames.com/oldlink
View,588,Home Theator,0,Successfull,0,1,Lenovo,Click Here,,76.169.7.252,est-11,,1,fs-sg-g03,1377,200,-,sd3sl10ff9adff45888,,http://www.buttercupgames.com/oldlink
View,123,Home Theator,0,Successfull,0,1,Lenovo,Click Here,,92.46.53.223,est-11,,1,fs-sg-g03,2221,200,-,sd8sl2ff3adff42072,,http://www.buttercupgames.com/oldlink
View,815,Home Theator,0,Successfull,0,1,Acer,Click Here,,12.130.60.5,est-11,,1,mb-ag-g07,2103,200,-,sd4sl9ff3adff36249,,http://www.buttercupgames.com/oldlink
View,833,Home Theator,0,Successfull,0,1,Acer,Click Here,,170.192.178.10,est-11,,1,mb-ag-g07,3845,200,-,sd1sl10ff7adff42442,,http://www.buttercupgames.com/oldlink
View,238,Home Theator,0,Successfull,0,1,Acer,Click Here,,175.44.1.172,est-11,,1,mb-ag-g07,2244,200,-,sd4sl2ff7adff43113,,http://www.buttercupgames.com/oldlink
View,375,Home Theator,0,Successfull,0,1,Acer,Click Here,,190.113.128.150,est-11,,1,mb-ag-g07,1834,200,-,sd4sl9ff4adff43835,,http://www.buttercupgames.com/oldlink
View,351,Home Theator,0,Successfull,0,1,Acer,Click Here,,91.214.92.22,est-11,,1,mb-ag-g07,1774,200,-,sd6sl7ff1adff41320,,http://www.buttercupgames.com/oldlink
View,749,Home Theator,0,Successfull,0,1,Nokia,Click Here,,12.130.60.5,est-11,,1,mb-ag-t01,1004,200,-,sd6sl6ff9adff32279,,http://www.buttercupgames.com/oldlink
View,491,Home Theator,0,Successfull,0,1,Nokia,Click Here,,223.205.219.198,est-11,,1,mb-ag-t01,2524,200,-,sd8sl7ff5adff25401,,http://www.buttercupgames.com/oldlink
View,814,Home Theator,0,Successfull,0,1,Nokia,Click Here,,27.1.11.11,est-11,,1,mb-ag-t01,564,200,-,sd9sl9ff1adff39488,,http://www.buttercupgames.com/oldlink
View,611,Home Theator,0,Successfull,0,1,Nokia,Click Here,,27.102.11.11,est-11,,1,mb-ag-t01,1977,200,-,sd2sl4ff1adff30696,,http://www.buttercupgames.com/oldlink
View,240,Home Theator,0,Successfull,0,1,Nokia,Click Here,,27.35.11.11,est-11,,1,mb-ag-t01,2294,200,-,sd9sl8ff6adff12907,,http://www.buttercupgames.com/oldlink
View,718,Home Theator,0,Successfull,0,1,Nokia,Click Here,,76.89.103.115,est-11,,1,mb-ag-t01,617,200,-,sd0sl8ff1adff38950,,http://www.buttercupgames.com/oldlink
View,371,Home Theator,0,Successfull,0,1,Nokia,Click Here,,94.229.0.21,est-11,,1,mb-ag-t01,1287,200,-,sd3sl7ff6adff28619,,http://www.buttercupgames.com/oldlink
View,541,Home Theator,0,Successfull,0,1,Dell,Click Here,,124.160.192.241,est-11,,1,pz-sg-g05,3598,200,-,sd4sl10ff1adff18538,,http://www.buttercupgames.com/oldlink
View,148,Home Theator,0,Successfull,0,1,Dell,Click Here,,142.162.221.28,est-11,,1,pz-sg-g05,1191,200,-,sd1sl4ff10adff24222,,http://www.buttercupgames.com/oldlink
View,912,Home Theator,0,Successfull,0,1,Dell,Click Here,,216.221.226.11,est-11,,1,pz-sg-g05,3260,200,-,sd9sl3ff1adff41346,,http://www.buttercupgames.com/oldlink
View,510,Home Theator,0,Successfull,0,1,Dell,Click Here,,27.96.128.0,est-11,,1,pz-sg-g05,535,200,-,sd6sl1ff3adff13381,,http://www.buttercupgames.com/oldlink
View,268,Home Theator,0,Successfull,0,1,Dell,Click Here,,90.205.111.169,est-11,,1,pz-sg-g05,3374,200,-,sd8sl1ff5adff35282,,http://www.buttercupgames.com/oldlink
View,104,Home Theator,0,Successfull,0,1,XOLO,Click Here,,121.9.245.177,est-11,,1,sc-mg-g10,2566,200,-,sd10sl7ff6adff47665,,http://www.buttercupgames.com/oldlink
View,606,Home Theator,0,Successfull,0,1,XOLO,Click Here,,195.80.144.22,est-11,,1,sc-mg-g10,1079,200,-,sd10sl8ff7adff5747,,http://www.buttercupgames.com/oldlink
View,523,Home Theator,0,Successfull,0,1,XOLO,Click Here,,2.229.4.58,est-11,,1,sc-mg-g10,1730,200,-,sd9sl7ff3adff9216,,http://www.buttercupgames.com/oldlink
View,670,Home Theator,0,Successfull,0,1,XOLO,Click Here,,222.169.224.226,est-11,,1,sc-mg-g10,3707,200,-,sd9sl2ff6adff52275,,http://www.buttercupgames.com/oldlink
View,811,Home Theator,0,Successfull,0,1,XOLO,Click Here,,89.167.143.32,est-11,,1,sc-mg-g10,1768,200,-,sd4sl1ff9adff45187,,http://www.buttercupgames.com/oldlink
View,240,Home Theator,0,Successfull,0,1,XOLO,Click Here,,91.214.92.22,est-11,,1,sc-mg-g10,3135,200,-,sd10sl9ff10adff21775,,http://www.buttercupgames.com/oldlink
View,975,Home Theator,0,Successfull,0,1,Apple,Click Here,,125.17.14.100,est-11,,1,wc-sh-a01,3114,200,-,sd0sl1ff7adff10408,,http://www.buttercupgames.com/oldlink
View,476,Home Theator,0,Successfull,0,1,Apple,Click Here,,173.192.201.242,est-11,,1,wc-sh-a01,396,200,-,sd6sl5ff3adff14556,,http://www.buttercupgames.com/oldlink
View,335,Home Theator,0,Successfull,0,1,Apple,Click Here,,183.60.133.18,est-11,,1,wc-sh-a01,3772,200,-,sd2sl9ff7adff11172,,http://www.buttercupgames.com/oldlink
View,704,Home Theator,0,Successfull,0,1,Apple,Click Here,,223.5.16.102,est-11,,1,wc-sh-a01,474,200,-,sd10sl6ff1adff26591,,http://www.buttercupgames.com/oldlink
View,104,Home Theator,0,Successfull,0,1,Apple,Click Here,,24.185.15.226,est-11,,1,wc-sh-a01,2895,200,-,sd0sl7ff6adff8908,,http://www.buttercupgames.com/oldlink
View,965,Home Theator,0,Successfull,0,1,Apple,Click Here,,74.82.57.172,est-11,,1,wc-sh-a01,266,200,-,sd6sl5ff7adff12042,,http://www.buttercupgames.com/oldlink
View,407,Home Theator,0,Successfull,0,1,Apple,Click Here,,76.89.103.115,est-11,,1,wc-sh-a01,755,200,-,sd9sl8ff4adff29574,,http://www.buttercupgames.com/oldlink
View,503,Home Theator,0,Successfull,0,1,Apple,Click Here,,89.167.143.32,est-11,,1,wc-sh-a01,3707,200,-,sd8sl6ff10adff7218,,http://www.buttercupgames.com/oldlink
View,117,Home Theator,0,Successfull,0,1,Apple,Click Here,,94.229.0.21,est-11,,1,wc-sh-a01,1605,200,-,sd0sl10ff8adff51701,,http://www.buttercupgames.com/oldlink
View,276,Home Theator,0,Successfull,0,1,Samsung,Click Here,,188.143.232.202,est-11,,1,wc-sh-a02,994,200,-,sd9sl1ff8adff45206,,http://www.buttercupgames.com/oldlink
View,643,Home Theator,0,Successfull,0,1,Samsung,Click Here,,194.215.205.19,est-11,,1,wc-sh-a02,3877,200,-,sd1sl2ff9adff24823,,http://www.buttercupgames.com/oldlink
View,218,Home Theator,0,Successfull,0,1,Samsung,Click Here,,195.216.243.24,est-11,,1,wc-sh-a02,491,200,-,sd10sl5ff5adff29944,,http://www.buttercupgames.com/oldlink
View,641,Home Theator,0,Successfull,0,1,Samsung,Click Here,,27.102.11.11,est-11,,1,wc-sh-a02,2494,200,-,sd0sl5ff8adff25414,,http://www.buttercupgames.com/oldlink
View,264,Home Theator,0,Successfull,0,1,Samsung,Click Here,,46.251.224.66,est-11,,1,wc-sh-a02,1959,200,-,sd10sl8ff2adff8194,,http://www.buttercupgames.com/oldlink
View,319,Home Theator,0,Successfull,0,1,Samsung,Click Here,,59.99.230.91,est-11,,1,wc-sh-a02,1651,200,-,sd7sl2ff4adff9337,,http://www.buttercupgames.com/oldlink
View,579,Home Theator,0,Successfull,0,1,Samsung,Click Here,,60.220.218.88,est-11,,1,wc-sh-a02,3817,200,-,sd10sl4ff10adff35421,,http://www.buttercupgames.com/oldlink
View,811,Home Theator,0,Successfull,0,1,Samsung,Click Here,,91.205.189.27,est-11,,1,wc-sh-a02,2277,200,-,sd7sl2ff2adff41928,,http://www.buttercupgames.com/oldlink
View,426,Home Theator,0,Successfull,0,1,Micromax,Click Here,,128.241.220.82,est-11,,1,wc-sh-g04,2326,200,-,sd0sl5ff7adff28989,,http://www.buttercupgames.com/oldlink
View,225,Home Theator,0,Successfull,0,1,Micromax,Click Here,,148.107.2.20,est-11,,1,wc-sh-g04,3685,200,-,sd9sl1ff1adff27434,,http://www.buttercupgames.com/oldlink
View,848,Home Theator,0,Successfull,0,1,Micromax,Click Here,,148.107.2.20,est-11,,1,wc-sh-g04,2552,200,-,sd0sl2ff6adff37342,,http://www.buttercupgames.com/oldlink
View,732,Home Theator,0,Successfull,0,1,Micromax,Click Here,,174.123.217.162,est-11,,1,wc-sh-g04,2674,200,-,sd0sl8ff9adff22688,,http://www.buttercupgames.com/oldlink
View,848,Home Theator,0,Successfull,0,1,Micromax,Click Here,,175.44.1.122,est-11,,1,wc-sh-g04,1707,200,-,sd1sl9ff6adff14666,,http://www.buttercupgames.com/oldlink
View,919,Home Theator,0,Successfull,0,1,Micromax,Click Here,,194.215.205.19,est-11,,1,wc-sh-g04,563,200,-,sd9sl8ff10adff31432,,http://www.buttercupgames.com/oldlink
View,369,Home Theator,0,Successfull,0,1,Micromax,Click Here,,195.80.144.22,est-11,,1,wc-sh-g04,1114,200,-,sd8sl4ff5adff20914,,http://www.buttercupgames.com/oldlink
View,661,Home Theator,0,Successfull,0,1,Micromax,Click Here,,198.35.3.23,est-11,,1,wc-sh-g04,1040,200,-,sd0sl3ff4adff38492,,http://www.buttercupgames.com/oldlink
View,437,Home Theator,0,Successfull,0,1,Micromax,Click Here,,212.235.92.150,est-11,,1,wc-sh-g04,316,200,-,sd1sl5ff1adff35912,,http://www.buttercupgames.com/oldlink
View,463,Home Theator,0,Successfull,0,1,Micromax,Click Here,,212.235.92.150,est-11,,1,wc-sh-g04,2840,200,-,sd0sl4ff7adff52136,,http://www.buttercupgames.com/oldlink
View,149,Home Theator,0,Successfull,0,1,Micromax,Click Here,,216.221.226.11,est-11,,1,wc-sh-g04,3264,200,-,sd4sl1ff5adff9894,,http://www.buttercupgames.com/oldlink
View,894,Home Theator,0,Successfull,0,1,Micromax,Click Here,,59.5.100.202,est-11,,1,wc-sh-g04,554,200,-,sd1sl1ff4adff24047,,http://www.buttercupgames.com/oldlink
View,433,Home Theator,0,Successfull,0,1,Sony,Click Here,,194.8.74.23,est-11,,1,wc-sh-t02,346,200,-,sd10sl6ff4adff20593,,http://www.buttercupgames.com/oldlink
View,724,Home Theator,0,Successfull,0,1,Sony,Click Here,,198.35.3.23,est-11,,1,wc-sh-t02,2080,200,-,sd3sl9ff1adff24062,,http://www.buttercupgames.com/oldlink
View,507,Home Theator,0,Successfull,0,1,Sony,Click Here,,59.36.99.70,est-11,,1,wc-sh-t02,3894,200,-,sd1sl3ff6adff11350,,http://www.buttercupgames.com/oldlink
View,488,Home Theator,0,Successfull,0,1,Sony,Click Here,,95.163.78.227,est-11,,1,wc-sh-t02,1983,200,-,sd8sl10ff9adff10055,,http://www.buttercupgames.com/oldlink
View,107,Home Theator,0,Successfull,0,1,Sony,Click Here,,97.117.230.183,est-11,,1,wc-sh-t02,303,200,-,sd6sl10ff8adff50988,,http://www.buttercupgames.com/oldlink
View,870,Speakers,0,Successfull,0,1,Philips,Click Here,,123.196.113.11,est-12,,1,bs-ag-g09,3494,200,-,sd9sl9ff10adff33358,,http://www.buttercupgames.com/oldlink
View,309,Speakers,0,Successfull,0,1,Philips,Click Here,,124.160.192.241,est-12,,1,bs-ag-g09,1775,200,-,sd3sl1ff8adff26079,,http://www.buttercupgames.com/oldlink
View,143,Speakers,0,Successfull,0,1,Philips,Click Here,,198.35.2.120,est-12,,1,bs-ag-g09,2846,200,-,sd6sl6ff6adff34861,,http://www.buttercupgames.com/oldlink
View,451,Speakers,0,Successfull,0,1,Philips,Click Here,,202.179.8.245,est-12,,1,bs-ag-g09,1359,200,-,sd8sl7ff2adff17583,,http://www.buttercupgames.com/oldlink
View,721,Speakers,0,Successfull,0,1,Philips,Click Here,,59.5.100.202,est-12,,1,bs-ag-g09,2268,200,-,sd10sl6ff3adff23288,,http://www.buttercupgames.com/oldlink
View,213,Speakers,0,Successfull,0,1,Philips,Click Here,,62.216.64.19,est-12,,1,bs-ag-g09,934,200,-,sd7sl4ff3adff22751,,http://www.buttercupgames.com/oldlink
View,364,Speakers,0,Successfull,0,1,Philips,Click Here,,89.167.143.32,est-12,,1,bs-ag-g09,2064,200,-,sd1sl7ff6adff26291,,http://www.buttercupgames.com/oldlink
View,311,Speakers,0,Successfull,0,1,Motorola,Click Here,,117.21.246.164,est-12,,1,cu-pg-g06,821,200,-,sd9sl5ff3adff7982,,http://www.buttercupgames.com/oldlink
View,917,Speakers,0,Successfull,0,1,Motorola,Click Here,,203.92.58.136,est-12,,1,cu-pg-g06,2901,200,-,sd0sl5ff6adff18815,,http://www.buttercupgames.com/oldlink
View,881,Speakers,0,Successfull,0,1,Motorola,Click Here,,27.101.11.11,est-12,,1,cu-pg-g06,2991,200,-,sd2sl7ff3adff41241,,http://www.buttercupgames.com/oldlink
View,901,Speakers,0,Successfull,0,1,Motorola,Click Here,,71.192.86.205,est-12,,1,cu-pg-g06,3430,200,-,sd10sl4ff4adff28340,,http://www.buttercupgames.com/oldlink
View,642,Speakers,0,Successfull,0,1,Motorola,Click Here,,82.245.228.36,est-12,,1,cu-pg-g06,1271,200,-,sd2sl5ff1adff41957,,http://www.buttercupgames.com/oldlink
View,604,Speakers,0,Successfull,0,1,Intex,Click Here,,201.42.223.29,est-12,,1,db-sg-g01,2981,200,-,sd0sl4ff1adff29487,,http://www.buttercupgames.com/oldlink
View,576,Speakers,0,Successfull,0,1,Intex,Click Here,,211.166.11.101,est-12,,1,db-sg-g01,3945,200,-,sd8sl6ff6adff35545,,http://www.buttercupgames.com/oldlink
View,330,Speakers,0,Successfull,0,1,Intex,Click Here,,223.5.16.102,est-12,,1,db-sg-g01,2256,200,-,sd1sl9ff4adff20347,,http://www.buttercupgames.com/oldlink
View,894,Speakers,0,Successfull,0,1,Intex,Click Here,,61.164.73.20,est-12,,1,db-sg-g01,606,200,-,sd3sl10ff7adff28168,,http://www.buttercupgames.com/oldlink
View,866,Speakers,0,Successfull,0,1,Intex,Click Here,,67.170.226.218,est-12,,1,db-sg-g01,3086,200,-,sd5sl3ff6adff23093,,http://www.buttercupgames.com/oldlink
View,404,Speakers,0,Successfull,0,1,Intex,Click Here,,76.169.7.252,est-12,,1,db-sg-g01,1493,200,-,sd4sl10ff8adff21529,,http://www.buttercupgames.com/oldlink
View,209,Speakers,0,Successfull,0,1,Intex,Click Here,,90.205.111.169,est-12,,1,db-sg-g01,1668,200,-,sd4sl3ff3adff11432,,http://www.buttercupgames.com/oldlink
View,817,Speakers,0,Successfull,0,1,Karbon,Click Here,,175.44.24.82,est-12,,1,dc-sg-g02,3609,200,-,sd2sl3ff9adff14412,,http://www.buttercupgames.com/oldlink
View,520,Speakers,0,Successfull,0,1,Karbon,Click Here,,203.223.0.20,est-12,,1,dc-sg-g02,1656,200,-,sd6sl6ff7adff24357,,http://www.buttercupgames.com/oldlink
View,784,Speakers,0,Successfull,0,1,Karbon,Click Here,,211.25.254.234,est-12,,1,dc-sg-g02,1564,200,-,sd4sl5ff4adff39919,,http://www.buttercupgames.com/oldlink
View,711,Speakers,0,Successfull,0,1,Karbon,Click Here,,221.207.229.6,est-12,,1,dc-sg-g02,479,200,-,sd7sl5ff5adff32421,,http://www.buttercupgames.com/oldlink
View,813,Speakers,0,Successfull,0,1,LG,Click Here,,125.17.14.100,est-12,,1,fi-ag-g08,2576,200,-,sd0sl1ff7adff10408,,http://www.buttercupgames.com/oldlink
View,814,Speakers,0,Successfull,0,1,LG,Click Here,,198.35.1.10,est-12,,1,fi-ag-g08,3526,200,-,sd5sl2ff5adff49056,,http://www.buttercupgames.com/oldlink
View,154,Speakers,0,Successfull,0,1,Lenovo,Click Here,,12.130.60.5,est-12,,1,fs-sg-g03,1880,200,-,sd3sl3ff2adff16050,,http://www.buttercupgames.com/oldlink
View,635,Speakers,0,Successfull,0,1,Lenovo,Click Here,,130.253.37.97,est-12,,1,fs-sg-g03,943,200,-,sd9sl8ff1adff38428,,http://www.buttercupgames.com/oldlink
View,735,Speakers,0,Successfull,0,1,Lenovo,Click Here,,178.162.239.192,est-12,,1,fs-sg-g03,252,200,-,sd2sl7ff1adff18090,,http://www.buttercupgames.com/oldlink
View,100,Speakers,0,Successfull,0,1,Lenovo,Click Here,,192.162.19.179,est-12,,1,fs-sg-g03,3579,200,-,sd6sl8ff5adff11430,,http://www.buttercupgames.com/oldlink
View,409,Speakers,0,Successfull,0,1,Lenovo,Click Here,,217.15.20.146,est-12,,1,fs-sg-g03,2262,200,-,sd7sl4ff9adff12992,,http://www.buttercupgames.com/oldlink
View,778,Speakers,0,Successfull,0,1,Lenovo,Click Here,,217.15.20.146,est-12,,1,fs-sg-g03,2741,200,-,sd1sl4ff9adff9972,,http://www.buttercupgames.com/oldlink
View,628,Speakers,0,Successfull,0,1,Lenovo,Click Here,,24.185.15.226,est-12,,1,fs-sg-g03,1076,200,-,sd6sl4ff6adff8778,,http://www.buttercupgames.com/oldlink
View,568,Speakers,0,Successfull,0,1,Lenovo,Click Here,,50.23.124.50,est-12,,1,fs-sg-g03,1294,200,-,sd3sl4ff4adff46896,,http://www.buttercupgames.com/oldlink
View,161,Speakers,0,Successfull,0,1,Lenovo,Click Here,,71.192.86.205,est-12,,1,fs-sg-g03,3844,200,-,sd7sl7ff4adff10320,,http://www.buttercupgames.com/oldlink
View,690,Speakers,0,Successfull,0,1,Lenovo,Click Here,,91.205.40.22,est-12,,1,fs-sg-g03,271,200,-,sd5sl2ff3adff12966,,http://www.buttercupgames.com/oldlink
View,689,Speakers,0,Successfull,0,1,Acer,Click Here,,195.2.240.99,est-12,,1,mb-ag-g07,365,200,-,sd2sl6ff10adff12446,,http://www.buttercupgames.com/oldlink
View,922,Speakers,0,Successfull,0,1,Acer,Click Here,,209.114.36.109,est-12,,1,mb-ag-g07,2374,200,-,sd7sl6ff7adff50210,,http://www.buttercupgames.com/oldlink
View,142,Speakers,0,Successfull,0,1,Acer,Click Here,,211.25.254.234,est-12,,1,mb-ag-g07,3113,200,-,sd0sl5ff2adff22748,,http://www.buttercupgames.com/oldlink
View,527,Speakers,0,Successfull,0,1,Acer,Click Here,,64.66.0.20,est-12,,1,mb-ag-g07,2823,200,-,sd6sl4ff1adff52990,,http://www.buttercupgames.com/oldlink
View,796,Speakers,0,Successfull,0,1,Acer,Click Here,,89.11.192.18,est-12,,1,mb-ag-g07,422,200,-,sd8sl9ff9adff12110,,http://www.buttercupgames.com/oldlink
View,726,Speakers,0,Successfull,0,1,Acer,Click Here,,91.208.184.24,est-12,,1,mb-ag-g07,2084,200,-,sd2sl8ff3adff36511,,http://www.buttercupgames.com/oldlink
View,748,Speakers,0,Successfull,0,1,Nokia,Click Here,,12.130.60.5,est-12,,1,mb-ag-t01,1857,200,-,sd6sl6ff9adff32279,,http://www.buttercupgames.com/oldlink
View,708,Speakers,0,Successfull,0,1,Nokia,Click Here,,142.162.221.28,est-12,,1,mb-ag-t01,2528,200,-,sd1sl4ff10adff24222,,http://www.buttercupgames.com/oldlink
View,255,Speakers,0,Successfull,0,1,Nokia,Click Here,,217.23.14.61,est-12,,1,mb-ag-t01,1039,200,-,sd10sl10ff4adff18871,,http://www.buttercupgames.com/oldlink
View,834,Speakers,0,Successfull,0,1,Nokia,Click Here,,27.101.11.11,est-12,,1,mb-ag-t01,3514,200,-,sd4sl10ff8adff15497,,http://www.buttercupgames.com/oldlink
View,397,Speakers,0,Successfull,0,1,Nokia,Click Here,,27.102.11.11,est-12,,1,mb-ag-t01,2293,200,-,sd4sl4ff9adff11790,,http://www.buttercupgames.com/oldlink
View,197,Speakers,0,Successfull,0,1,Nokia,Click Here,,27.96.191.11,est-12,,1,mb-ag-t01,1494,200,-,sd10sl3ff6adff40068,,http://www.buttercupgames.com/oldlink
View,528,Speakers,0,Successfull,0,1,Nokia,Click Here,,60.220.218.88,est-12,,1,mb-ag-t01,2715,200,-,sd3sl9ff3adff15458,,http://www.buttercupgames.com/oldlink
View,295,Speakers,0,Successfull,0,1,Nokia,Click Here,,64.66.0.20,est-12,,1,mb-ag-t01,1511,200,-,sd5sl8ff1adff40603,,http://www.buttercupgames.com/oldlink
View,398,Speakers,0,Successfull,0,1,Nokia,Click Here,,65.19.167.94,est-12,,1,mb-ag-t01,461,200,-,sd6sl7ff4adff36357,,http://www.buttercupgames.com/oldlink
View,740,Speakers,0,Successfull,0,1,Nokia,Click Here,,74.53.23.135,est-12,,1,mb-ag-t01,2278,200,-,sd6sl6ff9adff15396,,http://www.buttercupgames.com/oldlink
